date,protocol,tvl
2021-07-09,centrifuge,2522075
2021-07-09,maple-finance,30198607
2021-07-09,truefi,108735797
2021-07-10,centrifuge,2329314
2021-07-10,maple-finance,33795745
2021-07-10,truefi,121314809
2021-07-11,centrifuge,2323748
2021-07-11,maple-finance,33691090
2021-07-11,truefi,120615618
2021-07-12,centrifuge,2281197
2021-07-12,maple-finance,33784339
2021-07-12,truefi,115523459
2021-07-13,centrifuge,2280543
2021-07-13,maple-finance,33751262
2021-07-13,truefi,119363495
2021-07-14,centrifuge,2468548
2021-07-14,maple-finance,33652548
2021-07-14,truefi,144857079
2021-07-15,centrifuge,2373241
2021-07-15,maple-finance,22236804
2021-07-15,truefi,144768720
2021-07-16,centrifuge,2738722
2021-07-16,maple-finance,22128724
2021-07-16,truefi,136316642
2021-07-17,centrifuge,2417914
2021-07-17,maple-finance,18185548
2021-07-17,truefi,137560676
2021-07-18,centrifuge,2473126
2021-07-18,maple-finance,18244403
2021-07-18,truefi,138265917
2021-07-19,centrifuge,2497029
2021-07-19,maple-finance,17918329
2021-07-19,truefi,111251985
2021-07-20,centrifuge,2107603
2021-07-20,maple-finance,14037875
2021-07-20,truefi,110785722
2021-07-21,centrifuge,2089924
2021-07-21,maple-finance,14069898
2021-07-21,truefi,113598004
2021-07-22,centrifuge,1858042
2021-07-22,maple-finance,14023167
2021-07-22,truefi,115517012
2021-07-23,centrifuge,1798624
2021-07-23,maple-finance,13983836
2021-07-23,truefi,133851895
2021-07-24,centrifuge,1830389
2021-07-24,maple-finance,14066980
2021-07-24,truefi,108722882
2021-07-25,centrifuge,1829630
2021-07-25,maple-finance,14104956
2021-07-25,truefi,95873837
2021-07-26,centrifuge,1816350
2021-07-26,maple-finance,13950761
2021-07-26,truefi,61643011
2021-07-27,centrifuge,1854131
2021-07-27,maple-finance,14046633
2021-07-27,truefi,54967536
2021-07-28,centrifuge,1829545
2021-07-28,maple-finance,14048996
2021-07-28,truefi,55080733
2021-07-29,centrifuge,1808009
2021-07-29,maple-finance,14012108
2021-07-29,truefi,39690641
2021-07-30,centrifuge,1677236
2021-07-30,maple-finance,12534406
2021-07-30,truefi,39354061
2021-07-31,centrifuge,1775593
2021-07-31,maple-finance,13469842
2021-07-31,truefi,38782259
2021-08-01,centrifuge,1772971
2021-08-01,maple-finance,13903617
2021-08-01,truefi,53550186
2021-08-02,centrifuge,1779864
2021-08-02,maple-finance,13962217
2021-08-02,truefi,51733676
2021-08-03,centrifuge,1784739
2021-08-03,maple-finance,9083600
2021-08-03,truefi,51176347
2021-08-04,centrifuge,1699818
2021-08-04,maple-finance,9092855
2021-08-04,truefi,50880576
2021-08-05,centrifuge,1836062
2021-08-05,maple-finance,10588339
2021-08-05,truefi,220621143
2021-08-06,centrifuge,1682466
2021-08-06,maple-finance,12066788
2021-08-06,truefi,569856893
2021-08-07,centrifuge,1747697
2021-08-07,maple-finance,14617410
2021-08-07,truefi,528788692
2021-08-08,centrifuge,1758760
2021-08-08,maple-finance,12750027
2021-08-08,truefi,514182767
2021-08-09,centrifuge,1800473
2021-08-09,maple-finance,11888713
2021-08-09,truefi,480839862
2021-08-10,centrifuge,1894244
2021-08-10,maple-finance,13905419
2021-08-10,truefi,424722501
2021-08-11,centrifuge,1785140
2021-08-11,maple-finance,16513519
2021-08-11,truefi,415747089
2021-08-12,centrifuge,1784566
2021-08-12,maple-finance,15513186
2021-08-12,truefi,336346745
2021-08-13,centrifuge,1802767
2021-08-13,maple-finance,18016755
2021-08-13,truefi,812011470
2021-08-14,centrifuge,1845821
2021-08-14,maple-finance,16767518
2021-08-14,truefi,813676297
2021-08-15,centrifuge,1915882
2021-08-15,maple-finance,19962040
2021-08-15,truefi,789422941
2021-08-16,centrifuge,1899358
2021-08-16,maple-finance,24209466
2021-08-16,truefi,740071979
2021-08-17,centrifuge,1834164
2021-08-17,maple-finance,26311650
2021-08-17,truefi,636087804
2021-08-18,centrifuge,1839084
2021-08-18,maple-finance,31946224
2021-08-18,truefi,634367872
2021-08-19,centrifuge,1739896
2021-08-19,maple-finance,42652722
2021-08-19,truefi,637097897
2021-08-20,centrifuge,1681376
2021-08-20,maple-finance,25527239
2021-08-20,truefi,617294732
2021-08-21,centrifuge,1684195
2021-08-21,maple-finance,20849628
2021-08-21,truefi,661556914
2021-08-22,centrifuge,1724729
2021-08-22,maple-finance,21243724
2021-08-22,truefi,576318351
2021-08-23,centrifuge,1692299
2021-08-23,maple-finance,21489568
2021-08-23,truefi,571066568
2021-08-24,centrifuge,1531968
2021-08-24,maple-finance,22052049
2021-08-24,truefi,595027193
2021-08-25,centrifuge,1796992
2021-08-25,goldfinch,14796495
2021-08-25,maple-finance,22086022
2021-08-25,truefi,593569820
2021-08-26,centrifuge,1651355
2021-08-26,goldfinch,14781430
2021-08-26,maple-finance,5208904
2021-08-26,truefi,608977625
2021-08-27,centrifuge,2014390
2021-08-27,goldfinch,14799812
2021-08-27,maple-finance,9999058
2021-08-27,truefi,672076428
2021-08-28,centrifuge,2332897
2021-08-28,goldfinch,14826737
2021-08-28,maple-finance,10406906
2021-08-28,truefi,669221737
2021-08-29,centrifuge,2337412
2021-08-29,goldfinch,14802194
2021-08-29,maple-finance,14846914
2021-08-29,truefi,649761617
2021-08-30,centrifuge,2089279
2021-08-30,goldfinch,14811249
2021-08-30,maple-finance,15006713
2021-08-30,truefi,653406215
2021-08-31,centrifuge,2083297
2021-08-31,goldfinch,14885420
2021-08-31,maple-finance,18217323
2021-08-31,truefi,653622146
2021-09-01,centrifuge,2146284
2021-09-01,goldfinch,14864390
2021-09-01,maple-finance,46319212
2021-09-01,truefi,652583130
2021-09-02,centrifuge,2139288
2021-09-02,goldfinch,12668545
2021-09-02,maple-finance,46310591
2021-09-02,truefi,651224623
2021-09-03,centrifuge,2152197
2021-09-03,goldfinch,7826925
2021-09-03,maple-finance,36430039
2021-09-03,truefi,650633745
2021-09-04,centrifuge,2024341
2021-09-04,goldfinch,7820678
2021-09-04,maple-finance,36405609
2021-09-04,truefi,650051092
2021-09-05,centrifuge,2021484
2021-09-05,goldfinch,7807831
2021-09-05,maple-finance,36381849
2021-09-05,truefi,649286930
2021-09-06,centrifuge,2024341
2021-09-06,goldfinch,7829807
2021-09-06,maple-finance,21460699
2021-09-06,truefi,641193067
2021-09-07,centrifuge,2144148
2021-09-07,goldfinch,7535968
2021-09-07,maple-finance,12538759
2021-09-07,truefi,636540870
2021-09-08,centrifuge,1980881
2021-09-08,goldfinch,7402410
2021-09-08,maple-finance,12568759
2021-09-08,truefi,635332942
2021-09-09,centrifuge,1909770
2021-09-09,goldfinch,7481807
2021-09-09,maple-finance,12481998
2021-09-09,truefi,635321314
2021-09-10,centrifuge,1913782
2021-09-10,goldfinch,7507112
2021-09-10,maple-finance,3830052
2021-09-10,truefi,633286882
2021-09-11,centrifuge,1935802
2021-09-11,goldfinch,7841669
2021-09-11,maple-finance,3834524
2021-09-11,truefi,634111979
2021-09-12,centrifuge,1929052
2021-09-12,goldfinch,7751221
2021-09-12,maple-finance,3834126
2021-09-12,truefi,636492655
2021-09-13,centrifuge,1943857
2021-09-13,goldfinch,7855339
2021-09-13,maple-finance,3833043
2021-09-13,truefi,637328821
2021-09-14,centrifuge,2012914
2021-09-14,goldfinch,7841584
2021-09-14,maple-finance,2975647
2021-09-14,truefi,634642466
2021-09-15,centrifuge,2030275
2021-09-15,goldfinch,7841669
2021-09-15,maple-finance,2999236
2021-09-15,truefi,631678744
2021-09-16,centrifuge,2383282
2021-09-16,goldfinch,12901508
2021-09-16,maple-finance,6107920
2021-09-16,truefi,634168846
2021-09-17,centrifuge,2408316
2021-09-17,goldfinch,20069168
2021-09-17,maple-finance,6233891
2021-09-17,truefi,635297806
2021-09-18,centrifuge,2568596
2021-09-18,goldfinch,22207588
2021-09-18,maple-finance,6201519
2021-09-18,truefi,635072133
2021-09-19,centrifuge,2574904
2021-09-19,goldfinch,23049379
2021-09-19,maple-finance,6706494
2021-09-19,truefi,633822395
2021-09-20,centrifuge,2551579
2021-09-20,goldfinch,23085725
2021-09-20,maple-finance,6676509
2021-09-20,truefi,622293516
2021-09-21,centrifuge,2482581
2021-09-21,goldfinch,23253764
2021-09-21,maple-finance,6849292
2021-09-21,truefi,619373451
2021-09-22,centrifuge,2476937
2021-09-22,goldfinch,22714798
2021-09-22,maple-finance,7227956
2021-09-22,truefi,615644919
2021-09-23,centrifuge,2493073
2021-09-23,goldfinch,22688780
2021-09-23,maple-finance,7192291
2021-09-23,truefi,615807020
2021-09-24,centrifuge,2161809
2021-09-24,goldfinch,22704603
2021-09-24,maple-finance,7231122
2021-09-24,truefi,616363725
2021-09-25,centrifuge,2224151
2021-09-25,goldfinch,22970067
2021-09-25,maple-finance,11530985
2021-09-25,truefi,616378021
2021-09-26,centrifuge,1900817
2021-09-26,goldfinch,23000982
2021-09-26,maple-finance,11530969
2021-09-26,truefi,614743902
2021-09-27,centrifuge,1828287
2021-09-27,goldfinch,22990790
2021-09-27,maple-finance,11634640
2021-09-27,truefi,625457454
2021-09-28,centrifuge,1717277
2021-09-28,goldfinch,23360621
2021-09-28,maple-finance,8862200
2021-09-28,truefi,629042089
2021-09-29,centrifuge,1637861
2021-09-29,goldfinch,23299169
2021-09-29,maple-finance,5943591
2021-09-29,truefi,613405980
2021-09-30,centrifuge,1698597
2021-09-30,goldfinch,23368986
2021-09-30,maple-finance,6177480
2021-09-30,truefi,610749555
2021-10-01,centrifuge,1698597
2021-10-01,goldfinch,23111657
2021-10-01,maple-finance,2817705
2021-10-01,truefi,559872941
2021-10-02,centrifuge,1952353
2021-10-02,goldfinch,25780822
2021-10-02,maple-finance,3593135
2021-10-02,truefi,561124362
2021-10-03,centrifuge,1935349
2021-10-03,goldfinch,25786092
2021-10-03,maple-finance,6724810
2021-10-03,truefi,561078185
2021-10-04,centrifuge,2017487
2021-10-04,goldfinch,25927069
2021-10-04,maple-finance,8401794
2021-10-04,truefi,557144811
2021-10-05,centrifuge,1807473
2021-10-05,goldfinch,26043405
2021-10-05,maple-finance,8549233
2021-10-05,truefi,556964266
2021-10-06,centrifuge,1609408
2021-10-06,goldfinch,25474747
2021-10-06,maple-finance,21149843
2021-10-06,truefi,556534134
2021-10-07,centrifuge,1335000
2021-10-07,goldfinch,25594274
2021-10-07,maple-finance,21890923
2021-10-07,truefi,551901287
2021-10-08,centrifuge,1094236
2021-10-08,goldfinch,25743988
2021-10-08,maple-finance,21985309
2021-10-08,truefi,574243194
2021-10-09,centrifuge,1143095
2021-10-09,goldfinch,25814447
2021-10-09,maple-finance,26564309
